,CountryName,Intrapartum 
0,Saint Kitts & Nevis,58.5
1,Montenegro,48.7
2,Latvia,42.8
3,Somalia,38.6
4,South Sudan,35.8
5,Central African Republic,33.1
6,Chad,32.2
7,Cameroon,32.0
8,Kenya,31.6
9,Ethiopia,31.6
10,Guinea-Bissau,31.5
11,Guinea,31.4
12,Nigeria,30.9
13,Timor Leste,30.5
14,Angola,30.3
15,Zambia,30.2
16,Burundi,30.0
17,Togo,30.0
18,Madagascar,29.6
19,Equatorial Guinea,29.6
20,Tanzania,29.3
21,Lao PDR,29.3
22,Eritrea,29.2
23,Lesotho,29.2
24,Mali,29.0
25,Sierra Leone,28.9
26,Gambia The,28.6
27,Congo DR,28.6
28,Uganda,28.6
29,Zimbabwe,28.5
