,CountryName,ISO_Code,Pneumonia
0,Algeria,DZA,12.9
1,Angola,AGO,17.4
2,Benin,BEN,15.4
3,Botswana,BWA,12.4
4,Burkina Faso,BFA,12.8
5,Burundi,BDI,16.0
6,Cameroon,CMR,15.5
7,Cape Verde,CPV,13.7
8,Central African Republic,CAF,16.0
9,Chad,TCD,23.3
10,Comoros,COM,15.8
11,Djibouti,DJI,12.9
12,Egypt,EGY,12.7
13,Equatorial Guinea,GNQ,15.8
14,Eritrea,ERI,20.0
15,Ethiopia,ETH,17.1
16,Gabon,GAB,13.8
17,Gambia The,GMB,13.8
18,Ghana,GHA,11.9
19,Guinea,GIN,16.7
20,Guinea-Bissau,GNB,17.5
21,Kenya,KEN,14.1
22,Lesotho,LSO,17.2
23,Liberia,LBR,16.5
24,Libya,LBY,7.5
25,Madagascar,MDG,17.3
26,Malawi,MWI,13.5
27,Mali,MLI,13.0
28,Mauritania,MRT,14.6
29,Mauritius,MUS,10.8
30,Morocco,MAR,11.4
31,Mozambique,MOZ,14.3
32,Namibia,NAM,18.6
33,Niger,NER,20.8
34,Nigeria,NGA,17.8
35,Rwanda,RWA,13.6
36,Senegal,SEN,14.7
37,Seychelles,SYC,5.2
38,Sierra Leone,SLE,14.0
39,Somalia,SOM,24.2
40,South Africa,ZAF,16.9
41,South Sudan,SSD,20.4
42,Sudan,SDN,17.4
43,Swaziland,SWZ,15.9
44,Tanzania,TZA,14.6
45,Togo,TGO,15.2
46,Tunisia,TUN,8.0
47,Uganda,UGA,16.0
48,Zambia,ZMB,15.4
49,Zimbabwe,ZWE,14.7
