,CountryName,ISO_Code,Preterm
0,Antigua & Barbuda,ATG,26.5
1,Bahamas,BHS,28.2
2,Barbados,BRB,19.1
3,Belize,BLZ,17.3
4,Canada,CAN,27.1
5,Costa Rica,CRI,27.7
6,Cuba,CUB,16.8
7,Denmark,DNK,38.4
8,Dominican Republic,DOM,27.0
9,El Salvador,SLV,20.5
10,France,FRA,17.6
11,Grenada,GRD,21.3
12,Guatemala,GTM,14.0
13,Haiti,HTI,13.2
14,Honduras,HND,19.5
15,Jamaica,JAM,28.4
16,Mexico,MEX,20.1
17,Netherlands,NLD,23.5
18,Nicaragua,NIC,17.8
19,Panama,PAN,18.5
20,Saint Lucia,LCA,32.7
21,United Kingdom,GBR,35.8
22,United States of America,USA,26.8
